DateTime,Return1,Return5,SmaNorm,RSI14,DeltaRSI,ATR14,StdDev20,ZClose,VolZ,BodyToRange,IntraBarPos,UpperWick,LowerWick,Close
20250611 220000,0.000677,-0.001468,0.002456,34.643017,4.817618,35.659624,39.969009,-1.338850,-0.391506,0.549180,0.991803,0.250000,13.500000,21786.500000
20250611 221500,0.000011,-0.000688,0.002202,34.724813,0.081796,34.523222,39.669407,-1.209370,-1.066598,0.012658,0.746835,4.750000,14.750000,21786.750000
20250611 223000,0.000149,-0.000516,0.001794,35.848832,1.124019,33.075135,37.581445,-1.040407,-0.403276,0.263158,0.666667,4.750000,5.750000,21790.000000
20250611 224500,-0.000356,0.000379,0.001910,34.330694,-1.518138,31.498339,36.428824,-1.142296,-1.435774,0.545454,0.068182,4.250000,0.750000,21782.250000
20250611 230000,0.000161,0.000643,0.001526,35.655938,1.325244,30.248458,34.634924,-0.959653,-1.197697,0.160714,0.839286,2.250000,9.500000,21785.750000
20250611 231500,0.000619,0.000585,0.000736,40.632533,4.976595,29.373568,32.551363,-0.493067,-1.068167,0.680556,0.833333,3.000000,2.750000,21799.250000
20250611 233000,0.000860,0.001433,-0.000284,46.788311,6.155779,28.793313,27.990021,0.221508,-0.899690,0.823529,0.905882,2.000000,1.750000,21818.000000
20250611 234500,0.000034,0.001319,-0.000451,47.024931,0.236620,27.379505,23.801707,0.413836,-1.334718,0.111111,0.305556,6.250000,1.750000,21818.750000
20250612 000000,-0.000447,0.001227,-0.000067,44.268982,-2.755949,26.691683,22.962235,0.063692,-1.001017,0.549296,0.140845,5.500000,2.500000,21809.000000
20250612 001500,0.000183,0.001250,-0.000297,45.675606,1.406624,26.052992,22.226178,0.291886,-0.860844,0.211268,0.436620,10.000000,4.000000,21813.000000
20250612 003000,0.000241,0.000871,-0.000569,47.546875,1.871270,24.852778,21.646922,0.573407,-1.255805,0.648649,0.648649,3.250000,0.000000,21818.250000
20250612 004500,-0.000057,-0.000046,-0.000604,47.130601,-0.416275,24.363294,18.401274,0.715983,-1.070225,0.069444,0.819444,2.000000,14.750000,21817.000000
20250612 010000,0.000596,0.000515,-0.001217,51.851836,4.721235,23.676630,17.752971,1.496228,-1.053239,0.864407,0.915254,1.250000,0.750000,21830.000000
20250612 011500,-0.000263,0.000699,-0.000974,49.736237,-2.115599,22.789014,17.093397,1.243901,-1.072933,0.488889,0.422222,1.000000,4.750000,21824.250000
20250612 013000,0.000447,0.000962,-0.001374,53.221511,3.485274,22.536227,18.260784,1.642865,-0.421473,0.454545,0.688312,6.000000,4.500000,21834.000000
20250612 014500,-0.001214,-0.000493,-0.000186,44.242174,-8.979337,23.176496,17.979259,0.225260,-0.282130,0.888889,0.055556,1.750000,1.750000,21807.500000
20250612 020000,0.000963,0.000527,-0.001086,51.259973,7.017799,23.771032,18.780188,1.262634,-0.049065,0.539683,0.666667,10.500000,4.000000,21828.500000
20250612 021500,0.000034,-0.000034,-0.001056,51.494779,0.234807,23.483816,19.494370,1.183034,-0.460707,0.215190,1.000000,0.000000,15.500000,21829.250000
20250612 023000,-0.000332,-0.000103,-0.000615,49.035561,-2.459218,23.163543,18.302198,0.732835,-0.438262,0.394737,0.197368,7.750000,3.750000,21822.000000
20250612 024500,0.000664,0.000114,-0.001130,53.788861,4.753300,23.401862,17.192858,1.435189,0.706269,0.509434,0.726415,7.250000,5.750000,21836.500000
20250612 030000,0.000092,0.001421,-0.001102,54.420321,0.631460,23.123157,17.098081,1.408053,0.683287,0.089744,0.525641,9.250000,8.500000,21838.500000
20250612 031500,0.000366,0.000824,-0.001331,56.954139,2.533817,23.489360,17.221040,1.689067,3.579524,0.238938,0.407080,16.750000,4.750000,21846.500000
20250612 033000,-0.000458,0.000332,-0.000768,52.988778,-3.965360,23.400835,16.486448,1.016744,1.434534,0.494382,0.235955,6.000000,5.250000,21836.500000
20250612 034500,-0.001237,-0.000573,0.000532,44.067549,-8.921229,23.765061,14.315071,-0.810335,2.394059,0.947368,0.052632,0.000000,1.500000,21809.500000
